number_pino,site,below_50,above_50,available_soil_pct,sp,h_cm,number_puestas,altitud_m
164,VC,1800.14,209.66,89.57,h,170,0,898
165,VC,1773.62,229.43,88.55,h,60,0,898
166,VC,1773.62,237.43,88.19,h,140,0,899
167,VC,1769.62,234.68,88.29,h,250,1,900
168,VC,1769.62,234.68,88.29,h,90,0,900
169,VC,1803.65,204.66,89.81,h,225,1,900
170,VC,1848.68,152.62,92.37,h,150,0,901
171,VC,1891.72,114.09,94.31,h,140,0,900
172,VC,1896.97,107.58,94.63,h,180,0,899
173,VC,1902.47,104.58,94.79,h,160,0,898
174,VC,1903.48,100.33,94.99,h,190,1,895
175,VC,1887.21,123.6,93.85,h,190,2,897
176,VC,1943.26,66.05,96.71,h,180,0,896
177,VC,1941.25,71.81,96.43,h,170,0,896
1,CQ,1573.68,441.58,78.09,p,800,0,1343.82
2,CQ,1562.92,453.09,77.53,p,130,1,1343.58
3,CQ,1517.64,499.38,75.24,p,130,0,1342.38
4,CQ,1482.36,527.65,73.75,p,210,2,1339.49
5,CQ,1480.61,535.65,73.43,p,300,1,1335.89
6,CQ,1449.09,566.68,71.89,p,100,0,1334.45
7,CQ,1529.4,483.86,75.97,p,250,4,1333.97
8,CQ,1541.41,473.11,76.52,p,150,1,1332.28
9,CQ,1575.68,440.08,78.17,p,150,1,1329.16
10,CQ,1584.19,429.82,78.66,p,150,1,1329.16
11,CQ,1575.68,440.08,78.17,p,180,2,1328.92
12,CQ,1604.46,409.56,79.66,p,375,3,1329.88
13,CQ,1551.42,462.1,77.05,p,300,0,1332.28
14,CQ,1540.41,472.86,76.51,p,250,1,1332.03
15,CQ,1538.16,478.11,76.29,p,275,1,1331.56
16,CQ,1538.91,474.36,76.44,p,280,0,1333.72
17,CQ,1556.42,461.6,77.13,p,180,1,1334.93
18,CQ,1505.38,507.38,74.79,p,165,2,1339.97
19,CQ,1534.4,483.86,76.03,p,220,4,1338.76
20,CQ,1600.95,414.81,79.42,p,160,1,1336.61
21,CQ,1557.42,456.84,77.32,p,80,0,1334.69
22,CQ,1568.18,446.59,77.83,p,800,1,1334.21
23,CQ,1501.63,507.63,74.74,p,700,0,1333
24,CQ,1500.38,513.39,74.51,p,850,0,1333
25,CQ,1431.83,583.19,71.06,p,800,2,1333
26,CQ,1438.58,577.68,71.35,p,900,0,1332.52
27,CQ,1462.35,552.17,72.59,p,900,0,1331.56
28,CQ,1364.78,648.99,67.77,p,240,1,1332.03
29,CQ,1274.96,737.8,63.34,p,210,6,1330.12
30,CQ,1229.42,786.34,60.99,p,400,2,1331.07
31,CQ,1282.96,733.8,63.61,p,225,0,1333.72
32,CQ,1295.72,717.29,64.37,p,425,3,1337.09
33,CQ,1252.19,760.32,62.22,p,300,0,1334.21
34,CQ,1305.73,712.29,64.7,p,250,14,1332.52
35,CQ,1386.04,628.47,68.8,p,240,1,1333
36,CQ,1452.09,564.67,72,p,190,3,1333
37,CQ,1537.91,478.11,76.28,p,240,3,1333.24
38,CQ,1376.03,639.98,68.26,p,240,9,1324.11
39,CQ,1454.59,560.67,72.18,p,120,2,1343.82
40,CQ,1363.27,653.24,67.61,p,400,2,1334.45
41,CQ,1274.96,737.8,63.34,p,300,4,1333
42,CQ,1331.75,684.01,66.07,p,250,4,1326.76
43,CQ,1345.26,669.75,66.76,p,170,0,1329.4
44,CQ,1280.21,734.8,63.53,p,170,1,1331.07
45,CQ,1241.18,772.33,61.64,p,200,0,1333
46,CQ,1289.97,724.29,64.04,p,400,0,1330.6
47,CQ,1278.71,734.05,63.53,p,220,1,1331.32
48,CQ,1279.96,733.8,63.56,p,230,0,1330.36
49,CQ,1263.95,749.56,62.77,p,300,0,1331.8
50,CQ,1262.2,751.56,62.68,p,280,1,1338.76
51,CQ,1358.52,658.24,67.36,p,160,2,1338.29
52,CQ,1320.99,690.77,65.66,p,250,8,1338.76
53,CQ,1290.97,725.04,64.04,p,150,1,1338.53
54,CQ,1280.46,735.8,63.51,p,190,3,1338.53
55,CQ,1212.41,802.35,60.18,p,200,5,1341.42
56,CQ,1203.15,811.86,59.71,p,200,3,1344.3
57,CQ,1261.7,754.82,62.57,p,210,1,1336.85
58,CQ,1279.71,735.55,63.5,p,550,2,1334.69
59,CQ,1207.41,802.6,60.07,p,400,0,1331.32
60,CQ,1224.17,790.59,60.76,p,125,1,1329.16
61,CQ,1179.89,835.13,58.55,p,500,1,1331.56
62,CQ,1132.85,879.91,56.28,p,350,0,1332.52
63,CQ,1144.36,869.4,56.83,p,425,1,1332.76
64,CQ,1122.09,892.67,55.69,p,400,1,1335.41
65,CQ,1085.32,928.45,53.89,p,220,5,1334.93
66,CQ,1102.58,913.69,54.68,p,200,1,1336.13
67,CQ,1134.1,878.91,56.34,p,180,1,1349.59
68,CQ,1155.37,860.9,57.3,p,100,6,1351.99
69,CQ,1153.12,857.89,57.34,p,200,6,1355.35
70,CQ,1157.87,857.9,57.44,p,350,3,1350.79
71,CQ,1178.14,839.38,58.4,p,300,2,1345.98
72,CQ,1297.73,719.04,64.35,p,140,3,1343.1
73,CQ,1287.97,727.8,63.89,p,100,1,1340.69
85,CQ,1184.64,829.12,58.83,p,250,2,1338.05
86,CQ,1140.61,871.41,56.69,p,325,13,1339.49
87,CQ,1126.6,886.67,55.96,p,200,2,1340.69
88,CQ,1092.32,921.19,54.25,p,200,2,1339.97
89,CQ,1074.06,937.2,53.4,p,220,0,1338.53
90,CQ,1088.82,923.69,54.1,p,350,2,1338.53
91,CQ,1003,1013.51,49.74,p,350,2,1338.29
92,CQ,1069.8,943.96,53.12,p,250,0,1339.25
93,CQ,1016.51,1000,50.41,p,375,1,1341.66
94,CQ,1032.78,980.74,51.29,p,275,0,1340.45
95,CQ,1063.3,948.71,52.85,p,375,0,1342.62
96,CQ,1018.27,996.75,50.53,p,400,3,1345.98
97,CQ,1042.03,974.23,51.68,p,375,0,1348.87
98,CQ,1054.04,957.47,52.4,p,300,0,1353.19
99,CQ,1048.04,963.97,52.09,p,325,2,1353.67
100,CQ,949.71,1065.55,47.13,p,400,1,1350.31
101,CQ,912.19,1103.08,45.26,p,250,0,1342.62
102,CQ,939.71,1073.81,46.67,p,350,1,1341.42
103,CQ,1047.79,968.98,51.95,p,300,1,1340.93
104,CQ,947.96,1068.8,47,p,425,0,1334.45
105,CQ,854.89,1158.87,42.45,p,250,1,1335.89
106,CQ,844.63,1168.38,41.96,p,300,3,1335.89
107,CQ,846.64,1168.13,42.02,p,275,3,1336.37
108,CQ,861.65,1147.11,42.89,p,200,2,1335.41
109,CQ,907.93,1104.58,45.11,p,225,1,1337.8
110,CQ,906.18,1107.58,45,p,350,1,1337.57
111,CQ,953.97,1059.55,47.38,p,325,0,1341.9
112,CQ,954.47,1056.29,47.47,p,150,1,1341.42
113,CQ,945.96,1067.3,46.99,p,400,3,1340.69
114,CQ,939.71,1076.31,46.61,p,375,1,1339.97
115,CQ,966.73,1051.79,47.89,p,375,4,1337.8
116,CQ,1007.51,1002.75,50.12,p,300,1,1337.8
117,CQ,975.73,1039.53,48.42,p,225,2,1342.62
118,CQ,979.24,1032.53,48.68,p,250,3,1341.17
119,CQ,978.99,1035.78,48.59,p,190,6,1340.45
120,CQ,918.44,1095.32,45.61,p,100,2,1340.93
121,CQ,870.9,1143.61,43.23,p,325,1,1340.21
122,CQ,818.37,1195.4,40.64,p,450,1,1336.61
123,CQ,798.85,1216.91,39.63,p,400,0,1335.65
124,CQ,785.59,1230.68,38.96,p,225,1,1338.29
125,CQ,832.88,1183.39,41.31,p,325,4,1336.37
126,CQ,787.34,1222.92,39.17,p,190,6,1334.21
127,CQ,867.9,1146.61,43.08,p,200,0,1335.17
128,CQ,974.23,1041.03,48.34,p,150,1,1337.09
129,CQ,1039.78,971.48,51.7,p,250,0,1337.33
130,CQ,1032.03,982.49,51.23,p,210,2,1337.09
131,CQ,1031.28,983.99,51.17,p,350,5,1336.37
132,CQ,1090.07,925.2,54.09,p,300,3,1335.65
133,CQ,1065.3,946.96,52.94,p,300,1,1336.13
134,CQ,970.48,1044.29,48.17,p,225,2,1336.13
135,CQ,1122.84,890.92,55.76,p,325,0,1336.13
136,CQ,1211.16,801.1,60.19,p,300,1,1335.89
137,CQ,1370.78,641.48,68.12,p,200,1,1335.65
138,CQ,1356.52,657.99,67.34,p,190,5,1334.21
139,CQ,1239.68,770.58,61.67,p,170,2,1335.41
140,CQ,1192.15,821.37,59.21,p,180,1,1334.93
141,CQ,1262.7,747.06,62.83,p,190,0,1332.76
142,CQ,1293.47,716.54,64.35,p,190,1,1330.6
143,CQ,1321.74,692.02,65.64,p,500,0,1331.8
144,CQ,1405.81,609.71,69.75,p,180,1,1331.32
145,CQ,1392.3,619.97,69.19,p,225,1,1331.8
147,CQ,1512.39,503.38,75.03,p,160,2,1332.76
148,CQ,1531.15,486.87,75.87,p,170,3,1333.48
149,CQ,1542.66,472.86,76.54,p,190,1,1334.45
150,CQ,1523.64,489.87,75.67,p,120,7,1336.61
151,CQ,1435.33,576.18,71.36,p,140,0,1341.42
152,CQ,1425.57,592.45,70.64,p,210,2,1341.17
153,CQ,1462.6,553.17,72.56,p,200,2,1338.76
154,CQ,1501.13,513.64,74.51,p,210,8,1338.29
155,CQ,1521.39,492.62,75.54,p,180,1,1338.76
156,CQ,1508.63,505.88,74.89,p,160,1,1338.05
157,CQ,1508.63,505.88,74.89,p,225,1,1338.29
158,CQ,1492.12,522.89,74.05,p,170,1,1337.57
160,CQ,1581.94,434.08,78.47,p,225,1,1334.69
161,CQ,1497.13,512.39,74.5,p,200,2,1332.03
163,CQ,1487.37,528.4,73.79,p,150,0,1333.97
165,CQ,1420.32,596.7,70.42,p,100,0,1333
167,CQ,1341.76,674.26,66.55,p,180,4,1333
168,CQ,1421.07,596.2,70.45,p,200,1,1333.48
169,CQ,1451.34,563.17,72.04,p,300,0,1330.84
170,CQ,1405.31,609.71,69.74,p,300,0,1329.88
171,CQ,1409.31,603.95,70,p,150,1,1329.4
172,CQ,1390.29,622.97,69.06,p,100,0,1327.48
173,CQ,1325.25,692.77,65.67,p,125,1,1327.48
174,CQ,1305.98,711.53,64.73,p,200,0,1329.16
175,CQ,1246.94,766.58,61.93,p,190,0,1329.88
176,CQ,1277.46,739.56,63.33,p,180,0,1330.36
177,CQ,1304.73,711.78,64.7,p,130,1,1331.07
178,CQ,1292.97,723.79,64.11,p,225,2,1333.48
179,CQ,1267.2,746.06,62.94,p,230,2,1332.52
180,CQ,1208.91,806.11,60,p,160,3,1333
181,CQ,1258.95,758.07,62.42,p,230,5,1334.21
182,CQ,1395.05,619.72,69.24,p,120,3,1335.65
183,CQ,1395.05,619.72,69.24,p,270,1,1340.21
184,CQ,1335.5,678.26,66.32,p,250,1,1346.94
185,CQ,1117.09,897.17,55.46,p,190,2,1366.17
186,CQ,1210.66,804.6,60.07,p,200,0,1334.69
187,CQ,1218.42,797.6,60.44,p,125,4,1336.13
188,CQ,1290.97,725.55,64.02,p,140,3,1339.49
189,CQ,1286.47,723.29,64.01,p,125,1,1339.49
190,CQ,1326.75,685.26,65.94,p,160,4,1339.97
191,CQ,1390.55,624.72,69,p,160,1,1339.49
192,CQ,1524.9,489.87,75.69,p,210,1,1336.37
193,CQ,1547.91,464.35,76.92,p,225,1,1334.69
194,CQ,1506.88,509.13,74.75,p,201,1,1333.97
195,CQ,1496.87,515.39,74.39,p,260,1,1335.17
196,CQ,1427.57,585.19,70.93,p,125,1,1334.21
197,CQ,1411.06,603.2,70.05,p,150,0,1335.41
198,CQ,1443.08,571.68,71.63,p,130,1,1338.53
200,CQ,1409.31,606.46,69.91,p,140,1,1336.85
201,CQ,1387.54,629.22,68.8,p,125,2,1336.13
203,CQ,1331.75,685.52,66.02,p,120,0,1335.89
204,CQ,1290.22,726.05,63.99,p,170,1,1336.37
205,CQ,1264.95,751.56,62.73,p,170,1,1338.29
206,CQ,1231.18,783.09,61.12,p,180,4,1337.8
207,CQ,1198.15,817.61,59.44,p,110,1,1342.14
208,CQ,1156.37,859.4,57.37,p,190,1,1342.86
209,CQ,1139.61,878.16,56.48,p,150,1,1341.9
210,CQ,1139.86,872.66,56.64,p,140,1,1339.49
211,CQ,1158.87,859.4,57.42,p,200,1,1340.93
212,CQ,1153.62,861.4,57.25,p,200,1,1338.05
213,CQ,1113.09,896.17,55.4,p,125,0,1337.57
214,CQ,1085.57,930.45,53.85,p,180,2,1335.89
215,CQ,1088.57,928.95,53.96,p,190,0,1335.89
216,CQ,1081.81,934.95,53.64,p,150,2,1335.41
217,CQ,1131.1,887.42,56.04,p,210,0,1335.17
218,CQ,1118.59,898.93,55.44,p,130,0,1332.52
219,CQ,1206.91,807.36,59.92,p,240,1,1333
220,CQ,1212.91,800.35,60.25,p,325,0,1332.52
221,CQ,1275.46,741.81,63.23,p,110,0,1331.16
1,LP,1105.59,910.44,54.84,s,900,4,1709
2,LP,1124.35,890.42,55.81,s,800,1,1716
3,LP,1121.6,892.68,55.68,s,900,2,1718
4,LP,1035.53,980.99,51.35,n,900,12,1719
5,LP,922.95,1091.33,45.82,s,450,0,1732
6,LP,1131.11,881.92,56.19,n,140,0,1736
7,LP,1136.86,879.42,56.38,s,225,0,1738
8,LP,1097.08,918.2,54.44,n,180,0,1740
9,LP,1080.57,930.96,53.72,n,200,9,1743
10,LP,1101.08,914.69,54.62,n,180,0,1759
11,LP,1117.35,889.92,55.66,n,130,0,1760
12,LP,1125.1,888.17,55.88,s,140,1,1761
13,LP,1083.07,934.21,53.69,n,170,1,1763
14,LP,1102.34,911.44,54.74,n,170,0,1767
15,LP,1134.61,880.17,56.31,n,210,0,1767
16,LP,1112.59,902.18,55.22,n,225,0,1768
17,LP,1112.59,902.18,55.22,n,190,2,1770
18,LP,1112.59,902.18,55.22,n,220,2,1769
19,LP,1134.61,880.17,56.31,n,200,1,1773
20,LP,1157.88,856.4,57.48,n,275,1,1773
21,LP,1151.62,863.4,57.15,n,280,0,1780
22,LP,1151.62,863.4,57.15,s,250,1,1781
23,LP,1272.71,742.06,63.17,n,130,0,1783
24,LP,1286.47,728.3,63.85,s,1000,2,1783
25,LP,1212.42,802.36,60.18,n,160,0,1784
26,LP,1217.67,796.35,60.46,n,170,1,1783
27,LP,1254.45,760.58,62.25,n,300,0,1785
28,LP,1276.47,738.56,63.35,n,300,0,1785
29,LP,1336.01,678.26,66.33,n,275,0,1785
30,LP,1384.55,627.73,68.81,n,150,0,1785
31,LP,1381.55,629.98,68.68,n,200,0,1786
32,LP,1411.07,605.46,69.98,n,250,0,1786
33,LP,1411.07,605.46,69.98,s,190,0,1786
34,LP,1335.51,678.51,66.31,n,350,3,1789
35,LP,1375.54,637.98,68.32,n,350,1,1793
36,LP,1286.73,730.3,63.79,n,150,0,1795
37,LP,1285.72,730.05,63.78,n,225,0,1795
38,LP,1367.29,647.74,67.85,n,200,0,1797
39,LP,1347.52,667.76,66.87,n,325,3,1797
40,LP,1340.77,673.26,66.57,n,190,0,1800
41,LP,1157.63,856.65,57.47,s,350,0,1799
42,LP,1162.38,853.15,57.67,n,325,1,1800
43,LP,1256.7,757.82,62.38,s,1000,5,1802
44,LP,1487.88,527.65,73.82,n,180,0,1801
45,LP,1470.86,538.16,73.21,s,350,0,1803
46,LP,1461.36,549.17,72.69,s,980,4,1804
47,LP,1503.64,502.88,74.94,s,400,2,1804
48,LP,1505.64,500.63,75.05,n,350,1,1805
49,LP,1508.89,505.63,74.9,s,350,2,1807
50,LP,1559.18,454.34,77.44,n,400,4,1807
51,LP,1512.65,502.63,75.06,n,400,6,1810
52,LP,1508.89,505.63,74.9,n,350,2,1812
53,LP,1499.89,514.64,74.45,n,325,2,1813
54,LP,1343.52,673.51,66.61,n,375,1,1816
55,LP,1587.7,423.82,78.93,n,350,1,1817
56,LP,825.38,1186.15,41.03,n,350,1,1817
57,LP,29.77,51.79,36.5,n,350,3,1816
58,LP,89.32,332.75,21.16,n,350,11,1816
59,LP,1449.85,562.43,72.05,n,250,0,1815
60,LP,1365.03,649.99,67.74,n,300,1,1816
61,LP,1411.82,601.96,70.11,n,300,0,1818
62,LP,1443.84,562.68,71.96,n,250,1,1815
63,LP,1744.82,263.95,86.86,s,180,0,1814
64,LP,1780.85,235.18,88.33,s,225,11,1817
65,LP,1790.61,214.91,89.28,n,75,0,1814
66,LP,1784.85,229.17,88.62,n,115,1,1814
67,LP,1747.82,266.45,86.77,n,140,1,1814
68,LP,1737.82,275.21,86.33,n,140,0,1814
69,LP,1723.56,285.97,85.77,n,125,1,1813
70,LP,1551.93,461.1,77.09,n,95,0,1810
71,LP,1678.52,336,83.32,n,120,3,1812
72,LP,1821.13,193.9,90.38,s,125,2,1817
73,LP,1810.12,195.9,90.23,s,130,1,1818
74,LP,1794.11,210.91,89.48,s,130,1,1818
75,LP,1754.83,258.2,87.17,s,120,0,1821
76,LP,1748.33,259.7,87.07,s,140,0,1823
77,LP,1658.26,354.27,82.4,s,70,0,1825
78,LP,1626.98,386.29,80.81,n,110,1,1824
79,LP,1576.19,430.33,78.55,n,150,1,1826
80,LP,1654.25,360.27,82.12,s,70,0,1824
81,LP,1539.92,472.61,76.52,s,400,4,1824
82,LP,1689.78,324.5,83.89,s,90,0,1823
83,LP,1754.58,258.2,87.17,n,160,5,1823
84,LP,1776.6,236.68,88.24,n,190,1,1822
85,LP,1857.91,156.62,92.23,n,160,0,1821
86,LP,1844.4,160.12,92.01,n,190,3,1821
87,LP,1845.9,168.13,91.65,s,150,0,1818
88,LP,1782.85,229.67,88.59,s,180,0,1817
89,LP,1885.18,129.85,93.56,n,140,0,1816
90,LP,1892.93,119.34,94.07,n,100,0,1817
91,LP,1892.18,119.09,94.08,n,100,0,1818
92,LP,1886.18,129.1,93.59,n,60,0,1819
93,LP,1902.94,111.08,94.48,n,130,0,1818
94,LP,1891.18,117.59,94.15,n,110,0,1817
95,LP,1904.94,103.83,94.83,n,80,0,1818
96,LP,1894.44,107.08,94.65,n,140,0,1817
97,LP,1583.2,430.83,78.61,s,275,1,1812
98,LP,1692.03,321.49,84.03,s,140,0,1814
99,LP,1771.84,242.18,87.98,n,180,2,1814
100,LP,1586.2,427.57,78.77,n,150,1,1812
101,LP,1536.41,476.36,76.33,n,130,3,1812
102,LP,1220.17,794.1,60.58,s,1030,2,1810
103,LP,1279.47,738.31,63.41,s,180,0,1812
104,LP,1370.04,643.74,68.03,s,70,0,1809
105,LP,1658.26,355.02,82.37,n,180,3,1812
106,LP,1668.76,345.26,82.86,n,100,0,1812
107,LP,1706.54,308.48,84.69,n,100,0,1812
108,LP,1736.82,276.21,86.28,n,175,1,1813
109,LP,1818.38,194.4,90.34,n,170,1,1813
110,LP,1901.94,108.83,94.59,s,160,2,1814
111,LP,1934.47,75.81,96.23,n,150,0,1814
112,LP,1949.48,65.05,96.77,n,180,4,1812
113,LP,1939.97,65.55,96.73,n,170,6,1813
114,LP,1932.47,69.05,96.55,n,90,1,1812
115,LP,1940.72,68.55,96.59,n,120,2,1811
116,LP,1945.72,65.8,96.73,s,80,0,1812
117,LP,1950.23,60.3,97,s,90,0,1813
118,LP,1950.73,60.3,97,s,225,0,1812
119,LP,1953.48,59.04,97.07,s,175,1,1813
120,LP,1863.41,150.61,92.52,s,110,0,1809
