sitio,number_pino,sp,h_cm,number_puestas,altitud_m,distances,focal_pine
VC,43,h,250,1,896,7.21110255092798,48
VC,58,h,250,0,901,7.21110255092798,48
VC,51,h,250,0,899,7.81024967590665,48
VC,60,h,250,0,899,10.0498756211209,48
VC,40,h,170,0,896,10.4403065089106,48
VC,39,h,350,0,897,10.770329614269,48
VC,50,h,120,1,896,10.770329614269,48
VC,57,h,190,0,901,11.6619037896906,48
VC,49,h,125,1,896,0,49
VC,50,h,120,1,896,4.47213595499958,49
VC,59,h,250,0,899,12.6491106406735,49
VC,43,h,250,1,896,12.8062484748657,49
VC,41,h,100,0,891,14,49
VC,48,h,275,0,898,14.142135623731,49
VC,60,h,250,0,899,15.2643375224737,49
VC,42,h,160,1,893,15.8113883008419,49
VC,40,h,170,0,896,16.2788205960997,49
VC,76,h,180,0,900,17,49
VC,50,h,120,1,896,0,50
VC,49,h,125,1,896,4.47213595499958,50
VC,59,h,250,0,899,8.24621125123532,50
VC,48,h,275,0,898,10.770329614269,50
VC,60,h,250,0,899,10.816653826392,50
VC,43,h,250,1,896,11.6619037896906,50
VC,76,h,180,0,900,13.6014705087354,50
VC,58,h,250,0,901,14.142135623731,50
VC,61,h,325,0,902,15,50
VC,77,h,200,1,900,15.52417469626,50
VC,51,h,250,0,899,0,51
VC,58,h,250,0,901,2.23606797749979,51
VC,57,h,190,0,901,4.12310562561766,51
VC,62,h,250,0,900,7.07106781186548,51
VC,48,h,275,0,898,7.81024967590665,51
VC,59,h,250,0,899,8.06225774829855,51
VC,60,h,250,0,899,8.60232526704263,51
VC,61,h,325,0,902,8.94427190999916,51
VC,47,h,170,0,900,10.295630140987,51
VC,75,h,400,1,902,13.3416640641263,51
VC,52,h,300,1,899,0,52
VC,46,h,300,1,898,5.3851648071345,52
VC,38,h,225,0,897,11.0453610171873,52
VC,63,h,250,0,902,11.7046999107196,52
VC,37,h,300,2,895,17,52
VC,64,h,400,0,900,18.3847763108502,52
VC,33,h,275,0,897,20.6155281280883,52
VC,47,h,170,0,900,21.0237960416286,52
VC,44,h,225,2,896,21.9544984001001,52
VC,36,h,130,1,894,22.0227155455452,52
VC,53,h,275,0,898,0,53
VC,56,h,180,0,898,5.09901951359278,53
VC,65,h,300,0,901,7.07106781186548,53
VC,66,h,230,0,899,9.21954445729289,53
VC,45,h,300,1,895,10.770329614269,53
VC,73,h,225,1,901,10.816653826392,53
VC,55,h,275,0,896,11,53
VC,67,h,250,0,900,11.6619037896906,53
VC,44,h,225,2,896,12.0415945787923,53
VC,74,h,225,0,901,13.1529464379659,53
VC,54,h,275,0,895,0,54
VC,55,h,275,0,896,3.16227766016838,54
VC,69,h,225,1,898,5,54
VC,68,h,250,0,900,5.09901951359278,54
VC,67,h,250,0,900,8.06225774829855,54
VC,56,h,180,0,898,9.21954445729289,54
VC,70,h,450,1,898,9.21954445729289,54
VC,72,h,150,0,901,10.0498756211209,54
VC,66,h,230,0,899,11.3137084989848,54
VC,73,h,225,1,901,12.8062484748657,54
VC,55,h,275,0,896,0,55
VC,54,h,275,0,895,3.16227766016838,55
VC,68,h,250,0,900,4.47213595499958,55
VC,56,h,180,0,898,6.08276253029822,55
VC,67,h,250,0,900,6.08276253029822,55
VC,69,h,225,1,898,7.28010988928052,55
VC,66,h,230,0,899,8.60232526704263,55
VC,72,h,150,0,901,9.21954445729289,55
VC,73,h,225,1,901,10.295630140987,55
VC,53,h,275,0,898,11,55
VC,56,h,180,0,898,0,56
VC,53,h,275,0,898,5.09901951359278,56
VC,55,h,275,0,896,6.08276253029822,56
VC,66,h,230,0,899,6.08276253029822,56
VC,67,h,250,0,900,7.07106781186548,56
VC,73,h,225,1,901,8.06225774829855,56
VC,65,h,300,0,901,8.48528137423857,56
VC,68,h,250,0,900,8.54400374531753,56
VC,54,h,275,0,895,9.21954445729289,56
VC,72,h,150,0,901,11.3137084989848,56
VC,57,h,190,0,901,0,57
VC,51,h,250,0,899,4.12310562561766,57
VC,58,h,250,0,901,6,57
VC,62,h,250,0,900,6.70820393249937,57
VC,47,h,170,0,900,7.81024967590665,57
VC,61,h,325,0,902,10.6301458127346,57
VC,48,h,275,0,898,11.6619037896906,57
VC,60,h,250,0,899,11.7046999107196,57
VC,59,h,250,0,899,12,57
VC,75,h,400,1,902,13.8924439894498,57
VC,58,h,250,0,901,0,58
VC,51,h,250,0,899,2.23606797749979,58
VC,57,h,190,0,901,6,58
VC,59,h,250,0,899,6,58
VC,60,h,250,0,899,6.40312423743285,58
VC,62,h,250,0,900,6.70820393249937,58
VC,48,h,275,0,898,7.21110255092798,58
VC,61,h,325,0,902,7.28010988928052,58
VC,75,h,400,1,902,12.0415945787923,58
VC,47,h,170,0,900,12.5299640861417,58
VC,59,h,250,0,899,0,59
VC,60,h,250,0,899,4.12310562561766,59
VC,58,h,250,0,901,6,59
VC,48,h,275,0,898,6.32455532033676,59
VC,51,h,250,0,899,8.06225774829855,59
VC,61,h,325,0,902,8.06225774829855,59
VC,50,h,120,1,896,8.24621125123532,59
VC,62,h,250,0,900,10.816653826392,59
VC,76,h,180,0,900,11.7046999107196,59
VC,57,h,190,0,901,12,59
VC,60,h,250,0,899,0,60
VC,59,h,250,0,899,4.12310562561766,60
VC,61,h,325,0,902,4.24264068711928,60
VC,58,h,250,0,901,6.40312423743285,60
VC,62,h,250,0,900,8.24621125123532,60
VC,51,h,250,0,899,8.60232526704263,60
VC,76,h,180,0,900,8.60232526704263,60
VC,75,h,400,1,902,8.94427190999916,60
VC,48,h,275,0,898,10.0498756211209,60
VC,77,h,200,1,900,10.295630140987,60
VC,61,h,325,0,902,0,61
